station_id,begin_time,phase_index,phase_time,phase_score,phase_type,phase_amplitude
CI.COA..HH,2020-10-01T00:00:00.008,317,2020-10-01T00:00:03.178,0.787,P,2.3106571461539716e-05
CI.COA..HH,2020-10-01T00:00:00.008,3863,2020-10-01T00:00:38.638,0.778,P,1.6254469301202334e-05
CI.COA..HH,2020-10-01T00:00:00.008,7543,2020-10-01T00:01:15.438,0.908,P,1.4960497537686024e-05
CI.COA..HH,2020-10-01T00:00:00.008,9195,2020-10-01T00:01:31.958,0.825,P,1.3408222002908587e-05
CI.COA..HH,2020-10-01T00:00:00.008,15040,2020-10-01T00:02:30.408,0.878,P,7.155046478146687e-05
CI.COA..HH,2020-10-01T00:00:00.008,1019,2020-10-01T00:00:10.198,0.532,S,2.1218491383478977e-05
CI.COA..HH,2020-10-01T00:00:00.008,8232,2020-10-01T00:01:22.328,0.386,S,1.2745418644044548e-05
CI.COA..HH,2020-10-01T00:00:00.008,9836,2020-10-01T00:01:38.368,0.549,S,1.3408222002908587e-05
CI.COA..HH,2020-10-01T00:00:00.008,10742,2020-10-01T00:01:47.428,0.688,S,1.6796264389995486e-05
CI.COA..HH,2020-10-01T00:00:00.008,15726,2020-10-01T00:02:37.268,0.911,S,7.155046478146687e-05
