station_id,begin_time,phase_index,phase_time,phase_score,phase_type,phase_amplitude
CI.FRK..HH,2020-10-01T00:00:00.003,99,2020-10-01T00:00:00.993,0.843,P,4.410336714499863e-06
CI.FRK..HH,2020-10-01T00:00:00.003,3666,2020-10-01T00:00:36.663,0.935,P,1.4283612017607084e-06
CI.FRK..HH,2020-10-01T00:00:00.003,6231,2020-10-01T00:01:02.313,0.814,P,1.1114342441942426e-06
CI.FRK..HH,2020-10-01T00:00:00.003,7274,2020-10-01T00:01:12.743,0.303,P,1.2854657143179793e-06
CI.FRK..HH,2020-10-01T00:00:00.003,8958,2020-10-01T00:01:29.583,0.962,P,1.382086452395015e-06
CI.FRK..HH,2020-10-01T00:00:00.003,14727,2020-10-01T00:02:27.273,0.969,P,8.171954505087342e-06
CI.FRK..HH,2020-10-01T00:00:00.003,619,2020-10-01T00:00:06.193,0.513,S,4.410336714499863e-06
CI.FRK..HH,2020-10-01T00:00:00.003,4213,2020-10-01T00:00:42.133,0.72,S,1.4283612017607084e-06
CI.FRK..HH,2020-10-01T00:00:00.003,7891,2020-10-01T00:01:18.913,0.678,S,1.3774986200587591e-06
CI.FRK..HH,2020-10-01T00:00:00.003,9523,2020-10-01T00:01:35.233,0.614,S,1.3277558537083678e-06
