station_id,begin_time,phase_index,phase_time,phase_score,phase_type,phase_amplitude
CI.SGL..HH,2020-10-01T00:00:00.008,218,2020-10-01T00:00:02.188,0.913,P,6.086681423767004e-06
CI.SGL..HH,2020-10-01T00:00:00.008,3783,2020-10-01T00:00:37.838,0.647,P,3.486628202153952e-06
CI.SGL..HH,2020-10-01T00:00:00.008,7456,2020-10-01T00:01:14.568,0.812,P,2.6206057555100415e-06
CI.SGL..HH,2020-10-01T00:00:00.008,9113,2020-10-01T00:01:31.138,0.594,P,2.290821612405125e-06
CI.SGL..HH,2020-10-01T00:00:00.008,9977,2020-10-01T00:01:39.778,0.535,P,3.2802311125124106e-06
CI.SGL..HH,2020-10-01T00:00:00.008,11973,2020-10-01T00:01:59.738,0.361,P,2.1006203496654052e-06
CI.SGL..HH,2020-10-01T00:00:00.008,14941,2020-10-01T00:02:29.418,0.859,P,1.8224322047899477e-05
CI.SGL..HH,2020-10-01T00:00:00.008,833,2020-10-01T00:00:08.338,0.71,S,5.241390681476332e-06
CI.SGL..HH,2020-10-01T00:00:00.008,8048,2020-10-01T00:01:20.488,0.56,S,2.290821612405125e-06
CI.SGL..HH,2020-10-01T00:00:00.008,9515,2020-10-01T00:01:35.158,0.321,S,2.13982298191695e-06
CI.SGL..HH,2020-10-01T00:00:00.008,9983,2020-10-01T00:01:39.838,0.318,S,3.2802311125124106e-06
CI.SGL..HH,2020-10-01T00:00:00.008,15620,2020-10-01T00:02:36.208,0.343,S,7.11377288098447e-06
