station_id,begin_time,phase_index,phase_time,phase_score,phase_type,phase_amplitude
CI.YUH2..HH,2020-10-01T00:00:00.008,343,2020-10-01T00:00:03.438,0.874,P,4.545987394521944e-06
CI.YUH2..HH,2020-10-01T00:00:00.008,3907,2020-10-01T00:00:39.078,0.95,P,1.8120686036127154e-06
CI.YUH2..HH,2020-10-01T00:00:00.008,6509,2020-10-01T00:01:05.098,0.576,P,8.726333362574223e-07
CI.YUH2..HH,2020-10-01T00:00:00.008,7586,2020-10-01T00:01:15.868,0.946,P,1.5664327293052338e-06
CI.YUH2..HH,2020-10-01T00:00:00.008,9181,2020-10-01T00:01:31.818,0.621,P,2.4947544261522125e-06
CI.YUH2..HH,2020-10-01T00:00:00.008,12121,2020-10-01T00:02:01.218,0.904,P,1.4521225466523902e-06
CI.YUH2..HH,2020-10-01T00:00:00.008,15076,2020-10-01T00:02:30.768,0.815,P,7.295446266653016e-06
CI.YUH2..HH,2020-10-01T00:00:00.008,1038,2020-10-01T00:00:10.388,0.674,S,4.545987394521944e-06
CI.YUH2..HH,2020-10-01T00:00:00.008,4670,2020-10-01T00:00:46.708,0.743,S,1.8120686036127154e-06
CI.YUH2..HH,2020-10-01T00:00:00.008,7166,2020-10-01T00:01:11.668,0.678,S,1.2317766504565952e-06
CI.YUH2..HH,2020-10-01T00:00:00.008,8357,2020-10-01T00:01:23.578,0.571,S,1.5664327293052338e-06
CI.YUH2..HH,2020-10-01T00:00:00.008,9836,2020-10-01T00:01:38.368,0.618,S,2.4947544261522125e-06
CI.YUH2..HH,2020-10-01T00:00:00.008,15733,2020-10-01T00:02:37.338,0.594,S,7.295446266653016e-06
CI.YUH2..HH,2020-10-01T00:00:00.008,16385,2020-10-01T00:02:43.858,0.449,S,5.031469299865421e-06
