station_id,begin_time,phase_index,phase_time,phase_score,phase_type,phase_amplitude
CI.CRR..HH,2020-10-01T00:00:00.008,157,2020-10-01T00:00:01.578,0.669,P,1.2557551599456929e-05
CI.CRR..HH,2020-10-01T00:00:00.008,3703,2020-10-01T00:00:37.038,0.724,P,3.6517483295028796e-06
CI.CRR..HH,2020-10-01T00:00:00.008,7379,2020-10-01T00:01:13.798,0.912,P,4.597095539793372e-06
CI.CRR..HH,2020-10-01T00:00:00.008,8987,2020-10-01T00:01:29.878,0.464,P,4.4894591155753005e-06
CI.CRR..HH,2020-10-01T00:00:00.008,10123,2020-10-01T00:01:41.238,0.941,P,4.471909051062539e-06
CI.CRR..HH,2020-10-01T00:00:00.008,11916,2020-10-01T00:01:59.168,0.693,P,2.1942146304354537e-06
CI.CRR..HH,2020-10-01T00:00:00.008,14863,2020-10-01T00:02:28.638,0.563,P,2.3753698769723997e-05
CI.CRR..HH,2020-10-01T00:00:00.008,705,2020-10-01T00:00:07.058,0.478,S,1.2557551599456929e-05
CI.CRR..HH,2020-10-01T00:00:00.008,4213,2020-10-01T00:00:42.138,0.542,S,3.6517483295028796e-06
CI.CRR..HH,2020-10-01T00:00:00.008,7937,2020-10-01T00:01:19.378,0.373,S,4.597095539793372e-06
CI.CRR..HH,2020-10-01T00:00:00.008,10427,2020-10-01T00:01:44.278,0.373,S,4.471909051062539e-06
CI.CRR..HH,2020-10-01T00:00:00.008,12468,2020-10-01T00:02:04.688,0.427,S,2.1942146304354537e-06
CI.CRR..HH,2020-10-01T00:00:00.008,15390,2020-10-01T00:02:33.908,0.47,S,2.3753698769723997e-05
