station_id,begin_time,phase_index,phase_time,phase_score,phase_type,phase_amplitude
CI.IMP..HH,2020-10-01T00:00:00.008,3345,2020-10-01T00:00:33.458,0.894,P,6.225133984116837e-05
CI.IMP..HH,2020-10-01T00:00:00.008,7025,2020-10-01T00:01:10.258,0.978,P,5.255855285213329e-05
CI.IMP..HH,2020-10-01T00:00:00.008,8599,2020-10-01T00:01:25.998,0.968,P,3.537299926392734e-05
CI.IMP..HH,2020-10-01T00:00:00.008,9532,2020-10-01T00:01:35.328,0.66,P,3.7646394048351794e-05
CI.IMP..HH,2020-10-01T00:00:00.008,11543,2020-10-01T00:01:55.438,0.957,P,3.735262725967914e-05
CI.IMP..HH,2020-10-01T00:00:00.008,13591,2020-10-01T00:02:15.918,0.778,P,3.255031333537772e-05
CI.IMP..HH,2020-10-01T00:00:00.008,14516,2020-10-01T00:02:25.168,0.965,P,0.00021977715368848294
CI.IMP..HH,2020-10-01T00:00:00.008,15088,2020-10-01T00:02:30.888,0.553,P,0.0001377339067403227
CI.IMP..HH,2020-10-01T00:00:00.008,15818,2020-10-01T00:02:38.188,0.808,P,8.446646097581834e-05
CI.IMP..HH,2020-10-01T00:00:00.008,17412,2020-10-01T00:02:54.128,0.799,P,3.871077933581546e-05
CI.IMP..HH,2020-10-01T00:00:00.008,153,2020-10-01T00:00:01.538,0.859,S,0.0001185378132504411
CI.IMP..HH,2020-10-01T00:00:00.008,3696,2020-10-01T00:00:36.968,0.901,S,6.225133984116837e-05
CI.IMP..HH,2020-10-01T00:00:00.008,7376,2020-10-01T00:01:13.768,0.926,S,5.255855285213329e-05
CI.IMP..HH,2020-10-01T00:00:00.008,9877,2020-10-01T00:01:38.778,0.822,S,3.7646394048351794e-05
CI.IMP..HH,2020-10-01T00:00:00.008,11880,2020-10-01T00:01:58.808,0.899,S,3.735262725967914e-05
CI.IMP..HH,2020-10-01T00:00:00.008,14100,2020-10-01T00:02:21.008,0.59,S,4.906616231892258e-05
CI.IMP..HH,2020-10-01T00:00:00.008,14858,2020-10-01T00:02:28.588,0.86,S,0.00021977715368848294
CI.IMP..HH,2020-10-01T00:00:00.008,15371,2020-10-01T00:02:33.718,0.315,S,0.0001377339067403227
CI.IMP..HH,2020-10-01T00:00:00.008,16178,2020-10-01T00:02:41.788,0.481,S,8.446646097581834e-05
CI.IMP..HH,2020-10-01T00:00:00.008,17726,2020-10-01T00:02:57.268,0.704,S,3.871077933581546e-05
