station_id,begin_time,phase_index,phase_time,phase_score,phase_type,phase_amplitude
CI.SLV..HH,2020-10-01T00:00:00.003,417,2020-10-01T00:00:04.173,0.688,P,5.313889232638758e-06
CI.SLV..HH,2020-10-01T00:00:00.003,3571,2020-10-01T00:00:35.713,0.472,P,1.1382061302356306e-06
CI.SLV..HH,2020-10-01T00:00:00.003,3819,2020-10-01T00:00:38.193,0.517,P,2.317118060091161e-06
CI.SLV..HH,2020-10-01T00:00:00.003,7494,2020-10-01T00:01:14.943,0.925,P,1.7865692143459455e-06
CI.SLV..HH,2020-10-01T00:00:00.003,9792,2020-10-01T00:01:37.923,0.62,P,2.019960220422945e-06
CI.SLV..HH,2020-10-01T00:00:00.003,11811,2020-10-01T00:01:58.113,0.62,P,9.935199614119483e-07
CI.SLV..HH,2020-10-01T00:00:00.003,12978,2020-10-01T00:02:09.783,0.455,P,8.207797463910538e-07
CI.SLV..HH,2020-10-01T00:00:00.003,14785,2020-10-01T00:02:27.853,0.839,P,8.565600182919297e-06
CI.SLV..HH,2020-10-01T00:00:00.003,424,2020-10-01T00:00:04.243,0.361,S,5.313889232638758e-06
CI.SLV..HH,2020-10-01T00:00:00.003,1016,2020-10-01T00:00:10.163,0.458,S,2.550508952481323e-06
CI.SLV..HH,2020-10-01T00:00:00.003,4010,2020-10-01T00:00:40.103,0.595,S,1.494290813752741e-06
CI.SLV..HH,2020-10-01T00:00:00.003,6570,2020-10-01T00:01:05.703,0.365,S,1.7865692143459455e-06
CI.SLV..HH,2020-10-01T00:00:00.003,8308,2020-10-01T00:01:23.083,0.393,S,1.3400951957009966e-06
CI.SLV..HH,2020-10-01T00:00:00.003,9286,2020-10-01T00:01:32.863,0.423,S,1.3825415408064146e-06
CI.SLV..HH,2020-10-01T00:00:00.003,10227,2020-10-01T00:01:42.273,0.574,S,2.019960220422945e-06
CI.SLV..HH,2020-10-01T00:00:00.003,10874,2020-10-01T00:01:48.743,0.36,S,1.692446517154167e-06
CI.SLV..HH,2020-10-01T00:00:00.003,12257,2020-10-01T00:02:02.573,0.847,S,8.92146772457636e-07
CI.SLV..HH,2020-10-01T00:00:00.003,15200,2020-10-01T00:02:32.003,0.665,S,8.565600182919297e-06
CI.SLV..HH,2020-10-01T00:00:00.003,15848,2020-10-01T00:02:38.483,0.481,S,7.158216703828657e-06
