station_id,begin_time,phase_index,phase_time,phase_score,phase_type,phase_amplitude
CI.SWS..HH,2020-10-01T00:00:00.008,15,2020-10-01T00:00:00.158,0.436,P,2.3429989596479572e-05
CI.SWS..HH,2020-10-01T00:00:00.008,5987,2020-10-01T00:00:59.878,0.907,P,1.789429347809346e-06
CI.SWS..HH,2020-10-01T00:00:00.008,6184,2020-10-01T00:01:01.848,0.358,P,3.255555384384934e-06
CI.SWS..HH,2020-10-01T00:00:00.008,7093,2020-10-01T00:01:10.938,0.424,P,7.034267582639586e-06
CI.SWS..HH,2020-10-01T00:00:00.008,8693,2020-10-01T00:01:26.938,0.726,P,8.199916010198649e-06
CI.SWS..HH,2020-10-01T00:00:00.008,9640,2020-10-01T00:01:36.408,0.679,P,7.692518920521252e-06
CI.SWS..HH,2020-10-01T00:00:00.008,11613,2020-10-01T00:01:56.138,0.914,P,4.455584075913066e-06
CI.SWS..HH,2020-10-01T00:00:00.008,14612,2020-10-01T00:02:26.128,0.549,P,8.901824003260117e-06
CI.SWS..HH,2020-10-01T00:00:00.008,14805,2020-10-01T00:02:28.058,0.472,P,4.1539173253113404e-05
CI.SWS..HH,2020-10-01T00:00:00.008,169,2020-10-01T00:00:01.698,0.481,S,2.3429989596479572e-05
CI.SWS..HH,2020-10-01T00:00:00.008,3727,2020-10-01T00:00:37.278,0.316,S,6.595342256332515e-06
CI.SWS..HH,2020-10-01T00:00:00.008,4277,2020-10-01T00:00:42.778,0.46,S,6.3831898842181545e-06
CI.SWS..HH,2020-10-01T00:00:00.008,6189,2020-10-01T00:01:01.898,0.383,S,5.0750568334478885e-06
CI.SWS..HH,2020-10-01T00:00:00.008,7405,2020-10-01T00:01:14.058,0.712,S,7.034267582639586e-06
CI.SWS..HH,2020-10-01T00:00:00.008,7964,2020-10-01T00:01:19.648,0.664,S,6.909728199389065e-06
CI.SWS..HH,2020-10-01T00:00:00.008,9005,2020-10-01T00:01:30.058,0.625,S,8.199916010198649e-06
CI.SWS..HH,2020-10-01T00:00:00.008,14905,2020-10-01T00:02:29.058,0.596,S,4.1539173253113404e-05
