station_id,begin_time,phase_index,phase_time,phase_score,phase_type,file_name,phase_amplitude,phase_amp
CI.BOM..HH,2020-10-01T00:00:00.008,14728,2020-10-01T00:02:27.288,0.767,P,CI.BOM.2020-10-01T00:00.mseed,1.581637297931593e-05,1.581637297931593e-05
CI.BOM..HH,2020-10-01T00:00:00.008,15488,2020-10-01T00:02:34.888,0.603,S,CI.BOM.2020-10-01T00:00.mseed,1.581637297931593e-05,1.581637297931593e-05
CI.COA..HH,2020-10-01T00:00:00.008,317,2020-10-01T00:00:03.178,0.787,P,CI.COA.2020-10-01T00:00.mseed,2.3106571461539716e-05,2.3106571461539716e-05
CI.COA..HH,2020-10-01T00:00:00.008,3863,2020-10-01T00:00:38.638,0.778,P,CI.COA.2020-10-01T00:00.mseed,1.6254469301202334e-05,1.6254469301202334e-05
CI.COA..HH,2020-10-01T00:00:00.008,7543,2020-10-01T00:01:15.438,0.908,P,CI.COA.2020-10-01T00:00.mseed,1.4960497537686024e-05,1.4960497537686024e-05
CI.COA..HH,2020-10-01T00:00:00.008,9195,2020-10-01T00:01:31.958,0.825,P,CI.COA.2020-10-01T00:00.mseed,1.3408222002908587e-05,1.3408222002908587e-05
CI.COA..HH,2020-10-01T00:00:00.008,15040,2020-10-01T00:02:30.408,0.878,P,CI.COA.2020-10-01T00:00.mseed,7.155046478146687e-05,7.155046478146687e-05
CI.COA..HH,2020-10-01T00:00:00.008,1019,2020-10-01T00:00:10.198,0.532,S,CI.COA.2020-10-01T00:00.mseed,2.1218491383478977e-05,2.1218491383478977e-05
CI.COA..HH,2020-10-01T00:00:00.008,8232,2020-10-01T00:01:22.328,0.386,S,CI.COA.2020-10-01T00:00.mseed,1.2745418644044548e-05,1.2745418644044548e-05
CI.COA..HH,2020-10-01T00:00:00.008,9836,2020-10-01T00:01:38.368,0.549,S,CI.COA.2020-10-01T00:00.mseed,1.3408222002908587e-05,1.3408222002908587e-05
CI.COA..HH,2020-10-01T00:00:00.008,10742,2020-10-01T00:01:47.428,0.688,S,CI.COA.2020-10-01T00:00.mseed,1.6796264389995486e-05,1.6796264389995486e-05
CI.COA..HH,2020-10-01T00:00:00.008,15726,2020-10-01T00:02:37.268,0.911,S,CI.COA.2020-10-01T00:00.mseed,7.155046478146687e-05,7.155046478146687e-05
CI.CRR..HH,2020-10-01T00:00:00.008,157,2020-10-01T00:00:01.578,0.669,P,CI.CRR.2020-10-01T00:00.mseed,1.2557551599456929e-05,1.2557551599456929e-05
CI.CRR..HH,2020-10-01T00:00:00.008,3703,2020-10-01T00:00:37.038,0.724,P,CI.CRR.2020-10-01T00:00.mseed,3.6517483295028796e-06,3.6517483295028796e-06
CI.CRR..HH,2020-10-01T00:00:00.008,7379,2020-10-01T00:01:13.798,0.912,P,CI.CRR.2020-10-01T00:00.mseed,4.597095539793372e-06,4.597095539793372e-06
CI.CRR..HH,2020-10-01T00:00:00.008,8987,2020-10-01T00:01:29.878,0.464,P,CI.CRR.2020-10-01T00:00.mseed,4.4894591155753005e-06,4.4894591155753005e-06
CI.CRR..HH,2020-10-01T00:00:00.008,10123,2020-10-01T00:01:41.238,0.941,P,CI.CRR.2020-10-01T00:00.mseed,4.471909051062539e-06,4.471909051062539e-06
CI.CRR..HH,2020-10-01T00:00:00.008,11916,2020-10-01T00:01:59.168,0.693,P,CI.CRR.2020-10-01T00:00.mseed,2.1942146304354537e-06,2.1942146304354537e-06
CI.CRR..HH,2020-10-01T00:00:00.008,14863,2020-10-01T00:02:28.638,0.563,P,CI.CRR.2020-10-01T00:00.mseed,2.3753698769723997e-05,2.3753698769723997e-05
CI.CRR..HH,2020-10-01T00:00:00.008,705,2020-10-01T00:00:07.058,0.478,S,CI.CRR.2020-10-01T00:00.mseed,1.2557551599456929e-05,1.2557551599456929e-05
